# Hand-placed institutions.
#
# Nominatim cannot resolve a bare organisation name that is not a mapped place
# ("Rather Labs, Inc", "Skyloom Global"), and it mis-resolves INSPIRE's
# "City, Acronym" style ("Madrid, IFT"). Giving the city and country here is
# enough: the builder geocodes "<institution>, <city>, <country>", so the
# coordinates still come from OpenStreetMap rather than being typed in by hand.
#
# `institution` is a MATCHING KEY, not a display name: matching ignores case,
# accents, punctuation and word order, and a row matches when its words are a
# subset of the stop's, so "FUESMEN" also catches "FUESMEN - Fundación Escuela
# de Medicina Nuclear". Where the data shares no word with the real name
# (INSPIRE writes "Rio de Janeiro, CBPF"), key the row on the acronym.
# Only `institution` and one of (city+country) or (lat+lon) are required.
#
# `approx` marks a row as the institution's seat rather than the exact campus:
# use it when a name is genuinely ambiguous, as "Universidad Tecnológica
# Nacional" is — it has some thirty regional faculties and the data rarely says
# which. The stop is labelled as approximate so the map does not claim to know.
#
# Add a row for any career stop you care about that the map is missing; run
# `python3 scripts/build_dataset.py` afterwards. Leave a row out rather than
# guess — an institution placed in the wrong city is worse than one left off.
institution,city,country,lat,lon,approx,notes
# --- Argentine nuclear sector ---------------------------------------------
Nucleoeléctrica Argentina S.A.,Buenos Aires,Argentina,,,,operates Atucha I/II and Embalse; HQ in CABA
CONICET Patagonia Norte,San Carlos de Bariloche,Argentina,,,,CCT CONICET Patagonia Norte
Fundación INTECNUS,San Carlos de Bariloche,Argentina,,,,nuclear medicine centre next to Balseiro
FUESMEN,Mendoza,Argentina,,,,Fundación Escuela de Medicina Nuclear
Autoridad Regulatoria Nuclear,Buenos Aires,Argentina,,,,ARN — the nuclear regulator
# --- physics institutes ----------------------------------------------------
Abdus Salam International Centre for Theoretical Physics,Trieste,Italy,,,,ICTP
"Madrid, IFT",Madrid,Spain,,,,"Instituto de Física Teórica UAM-CSIC; INSPIRE writes it ""Madrid, IFT"""
CBPF,Rio de Janeiro,Brazil,,,,"Centro Brasileiro de Pesquisas Físicas; INSPIRE writes it ""Rio de Janeiro, CBPF"""
Laboratoire de Physique Subatomique et de Cosmologie,Grenoble,France,,,,LPSC
CNRS Délégation Ile-de-France Sud,Gif-sur-Yvette,France,,,,
Technical University of Berlin,Berlin,Germany,,,,TU Berlin
# --- companies -------------------------------------------------------------
Rather Labs,Buenos Aires,Argentina,,,,Argentine software consultancy
Tecpetrol,Buenos Aires,Argentina,,,,Techint group
Skyloom Global,Denver,United States,,,,optical space communications
ASAPP,New York,United States,,,,
Scale AI,San Francisco,United States,,,,
Marvell Technology,Santa Clara,United States,,,,
AtkinsRéalis,Montreal,Canada,,,,formerly SNC-Lavalin
Jampp,Buenos Aires,Argentina,,,,
ZoomAgri,Buenos Aires,Argentina,,,,
Teramot,Buenos Aires,Argentina,,,,
# --- UTN: named regional faculties. Keyed on "Facultad Regional <city>" so the
# row matches whether the record says "UTN ..." or "Universidad Tecnológica
# Nacional ...". These are exact, not approximate.
Facultad Regional Buenos Aires,Buenos Aires,Argentina,,,,UTN FRBA
UTN FRBA,Buenos Aires,Argentina,,,,covers "Centro de e-Learning UTN FRBA"
Facultad Regional Delta,Campana,Argentina,,,,UTN
Facultad Regional Haedo,Haedo,Argentina,,,,UTN
Facultad Regional Córdoba,Córdoba,Argentina,,,,UTN
Facultad Regional Resistencia,Resistencia,Argentina,,,,UTN
Facultad Regional San Rafael,San Rafael,Argentina,,,,UTN
Facultad Regional Paraná,Paraná,Argentina,,,,UTN
Facultad Regional San Nicolás,San Nicolás de los Arroyos,Argentina,,,,UTN
UTN San Nicolás,San Nicolás de los Arroyos,Argentina,,,,UTN
Facultad Regional Santa Fe,Santa Fe,Argentina,,,,UTN
Facultad Regional Rosario,Rosario,Argentina,,,,UTN
Facultad Regional Mendoza,Mendoza,Argentina,,,,UTN
Facultad Regional La Plata,La Plata,Argentina,,,,UTN
Facultad Regional Bahía Blanca,Bahía Blanca,Argentina,,,,UTN
Facultad Regional Tucumán,San Miguel de Tucumán,Argentina,,,,UTN
# ...and the bare name, which says nothing about which of the thirty it was.
# Left with no location on purpose: that is this file's way of saying the name
# cannot be placed honestly. The rectorado would be no more where most of these
# people studied than the faculty the geocoder used to pick at random, which is
# how a graduate from Santa Fe ended up in Tierra del Fuego. The stop still
# appears in the person's history, just not as a point on the map.
# Matching here is exact, so each ambiguous spelling needs its own row.
Universidad Tecnológica Nacional,,,,,,ambiguous — thirty regional faculties, record does not say which
Universidad Tecnológica Nacional (UTN),,,,,,same, written with the acronym
UTN,,,,,,same, acronym only
# --- other institutions the geocoder could not find -------------------------
Universidad Nacional del Litoral,Santa Fe,Argentina,,,,covers its Facultad de Ingeniería Química
Universidad de la Defensa Nacional,Buenos Aires,Argentina,,,,UNDEF
IAE Business School,Pilar,Argentina,,,,Universidad Austral
UNESP,São Paulo,Brazil,,,,Universidade Estadual Paulista
Instituto Politécnico Superior General San Martín,Rosario,Argentina,,,,UNR
Centro Oncológico Pergamino,Pergamino,Argentina,,,,
Instituto Nacional de Aviación Civil,Buenos Aires,Argentina,,,,INAC
Honorable Cámara de Diputados de la Nación,Buenos Aires,Argentina,,,,
Universidad Internacional de Valencia,Valencia,Spain,,,,VIU
Universidad de Bogotá Jorge Tadeo Lozano,Bogotá,Colombia,,,,
UWC Adriatic,Duino,Italy,,,,Collegio del Mondo Unito dell'Adriatico
Positronpharma,Santiago,Chile,,,,
Neuromatch Academy,,,,,,online only — deliberately left unplaced
