keep,name,score,grad_year,current_institution,country,city,employer,lat,lon,degree_program,field,concepts,works,openalex_url,openalex_id
"# set keep=y to add a row to the map; fill city/country or lat,lon if the institution is wrong or missing",,,,,,,,,,,,,,,
,A. López,5.0,1974,Universidad de Santiago de Chile,Chile,,,,,,,Condensed matter physics; Quantum,69,https://openalex.org/A5044332510,A5044332510
,A. Muthig,5.0,2000,,,,,,,,,Ion; Electron; Nuclear physics,14,https://openalex.org/A5040754766,A5040754766
,A.A. Ghilarducci,5.0,1991,Boise State University,United States,,,,,,,Metallurgy,69,https://openalex.org/A5029678684,A5029678684
,Alexander D. Hernández,5.0,2002,University of Havana,Cuba,,,,,,,Condensed matter physics; Superconductivity; Magnetic field,22,https://openalex.org/A5109952910,A5109952910
,Ana Montemayor-Borsinger,5.0,2003,,,,,,,,,Linguistics,9,https://openalex.org/A5084490485,A5084490485
,Bruno Guillet,5.0,1985,Centre National de la Recherche Scientifique,France,,,,,,,Optoelectronics; Optics,165,https://openalex.org/A5045417338,A5045417338
,C. Fainstein,5.0,1982,Bariloche Atomic Centre,Argentina,,,,,,,Condensed matter physics,52,https://openalex.org/A5026957330,A5026957330
,C.J. Gho,5.0,1997,Comisión Nacional de Energía Atómica,Argentina,,,,,,,Nuclear physics,13,https://openalex.org/A5071778482,A5071778482
,C.J.R. González Olíver,5.0,2000,Bariloche Atomic Centre,Argentina,,,,,,,Metallurgy,34,https://openalex.org/A5079120062,A5079120062
,Carlos Ayala,5.0,1994,University of Córdoba,Colombia,,,,,,,Horticulture,178,https://openalex.org/A5003828799,A5003828799
,Carlos E. Solivérez,5.0,1980,Universidad Nacional de Cuyo,Argentina,,,,,,,Mathematical physics,13,https://openalex.org/A5053881814,A5053881814
,Carlos Ernesto Budde,5.0,1987,,,,,,,,,,3,https://openalex.org/A5110147968,A5110147968
,Carlos M. García,5.0,2002,Universidad Nacional de Córdoba,Argentina,,,,,,,,109,https://openalex.org/A5101812292,A5101812292
,D. Roqueta,5.0,1996,Universidad Nacional de Cuyo,Argentina,,,,,,,Metallurgy,5,https://openalex.org/A5030628672,A5030628672
,D.F. Delmastro,5.0,2003,Comisión Nacional de Energía Atómica,Argentina,,,,,,,,41,https://openalex.org/A5004252240,A5004252240
,E. E. Kaul,5.0,2002,Max Planck Institute for Chemical Physics of Solids,Germany,,,,,,,Condensed matter physics,41,https://openalex.org/A5075930065,A5075930065
,E.M. Lopasso,5.0,2001,Bariloche Atomic Centre,Argentina,,,,,,,Metallurgy,16,https://openalex.org/A5052535719,A5052535719
,Eduardo A. Jagla,5.0,1991,,,,,,,,,Statistical physics,5,https://openalex.org/A5106316844,A5106316844
,Ester Martínez-Martín,5.0,2002,University of Alicante,Spain,,,,,,,Computer vision; Artificial intelligence; Robot; Human–computer interaction,98,https://openalex.org/A5021971405,A5021971405
,F. Lema,5.0,1995,Balseiro Institute,Argentina,,,,,,,Superconductivity; Condensed matter physics; Hubbard model,11,https://openalex.org/A5037410466,A5037410466
,Fabián J. Bonetto,5.0,1990,Consejo Nacional de Investigaciones Científicas y Técnicas,Argentina,,,,,,,Bubble,81,https://openalex.org/A5005620091,A5005620091
,G. Aurelio,5.0,2002,Consejo Nacional de Investigaciones Científicas y Técnicas,Argentina,,,,,,,Crystallography,59,https://openalex.org/A5005376612,A5005376612
,G. Bernardi,5.0,1986,Bariloche Atomic Centre,Argentina,,,,,,,Electron; Nuclear physics,67,https://openalex.org/A5022978079,A5022978079
,G. Bertolino,5.0,2002,National University of Tres de Febrero,Argentina,,,,,,,Metallurgy,67,https://openalex.org/A5106559005,A5106559005
,G. H. Lantschner,5.0,1978,Balseiro Institute,Argentina,,,,,,,Ion,54,https://openalex.org/A5073997898,A5073997898
,G. Meyer,5.0,1998,University of Hartford,United States,,,,,,,Hydrogen,79,https://openalex.org/A5065796992,A5065796992
,G. Urretavizcaya,5.0,2002,Consejo Nacional de Investigaciones Científicas y Técnicas,Argentina,,,,,,,,52,https://openalex.org/A5073569834,A5073569834
,Gregorio García,5.0,1999,Universidad de Valladolid,Spain,,,,,,,Computational chemistry; Organic chemistry,106,https://openalex.org/A5018156599,A5018156599
,H. Ascolani,5.0,1993,Consejo Nacional de Investigaciones Científicas y Técnicas,Argentina,,,,,,,Crystallography,76,https://openalex.org/A5046097413,A5046097413
,H. Montani,5.0,1995,Consejo Nacional de Investigaciones Científicas y Técnicas,Argentina,,,,,,,Pure mathematics; Mathematical physics,34,https://openalex.org/A5023213875,A5023213875
,J Magnin,5.0,1995,,,,,,,,,Particle physics; Equations of motion; Motion (physics); Electron,2,https://openalex.org/A5011024701,A5011024701
,J. Converti,5.0,1990,Consejo Nacional de Investigaciones Científicas y Técnicas,Argentina,,,,,,,,27,https://openalex.org/A5000556261,A5000556261
,J. E. Gayone,5.0,1997,Consejo Nacional de Investigaciones Científicas y Técnicas,Argentina,,,,,,,,69,https://openalex.org/A5017844210,A5017844210
,J. I. Castro,5.0,1995,Balseiro Institute,Argentina,,,,,,,Superconductivity; Ginzburg–Landau theory; Condensed matter physics,4,https://openalex.org/A5069807185,A5069807185
,J. J. Pieres,5.0,1995,,,,,,,,,Diffraction; Condensed matter physics,3,https://openalex.org/A5014747029,A5014747029
